CVE_DOC,FECHA_ENT,FECHA_VEN,CAN_TOT
F36387,2021-10-11,2021-10-26,940.0000000000001
F36388,2021-10-11,2021-10-11,2286.6155000000003
F36389,2021-09-30,2021-10-11,1008.0600000000001
F36390,2021-10-11,2021-10-11,2268.12
F36391,2021-10-11,2021-10-11,610.0
F36392,2021-10-12,2021-10-12,492.3915
F36393,2021-10-12,2021-10-12,250.0
F36394,2021-10-12,2021-10-12,2452.268
F36395,2021-10-12,2021-10-12,14665.560000000001
F36396,2021-10-05,2021-10-12,725.0
F36397,2021-10-07,2021-10-12,942.0000000000001
F36398,2021-10-13,2021-10-13,94.84
F36399,2021-10-15,2021-10-28,1120.0
F36400,2021-10-15,2021-10-28,1068.5
F36401,2021-10-13,2021-10-13,1505.3600000000001
F36402,2021-10-13,2021-10-13,362.07000000000005
F36403,2021-10-13,2021-10-13,1047.7
F36404,2021-10-13,2021-10-13,120.0
F36405,2021-10-13,2021-10-13,321.21
F36406,2021-10-12,2021-10-13,441.79
F36407,2021-10-14,2021-10-14,1653.66
F36408,2021-10-07,2021-10-29,600.0
F36409,2021-10-14,2021-10-14,3180.0
F36410,2021-10-14,2021-11-13,10837.0
F36411,2021-09-02,2021-10-14,702.25
F36412,2021-10-15,2021-11-28,9705.0
F36413,2021-10-14,2021-10-14,300.0
F36414,2021-10-14,2021-11-13,1175.0000000000002
F36415,2021-10-14,2021-10-14,1141.5000000000002
F36416,2021-10-19,2021-11-14,28305.0
F36417,2021-10-06,2021-11-14,8555.24
F36418,2021-10-14,2021-10-15,620.77
F36419,2021-10-15,2021-10-15,560.0
F36420,2021-10-15,2021-12-14,23625.000000000004
F36421,2021-10-08,2022-01-13,3308.78
F36422,2021-10-15,2021-10-15,151.38800000000003
F36423,2021-10-15,2021-10-15,450.54510000000005
F36424,2021-10-15,2021-10-15,1224.4
F36425,2021-10-15,2021-10-15,1224.4
F36426,2021-10-15,2021-10-15,1224.4
F36427,2021-10-15,2021-10-15,1224.4
F36428,2021-10-15,2021-10-15,489.6
F36429,2021-10-15,2021-10-15,540.0
F36430,2021-10-15,2021-10-15,855.54
F36431,2021-10-15,2021-10-15,781.54
F36432,2021-10-18,2021-10-15,435.0
F36433,2021-10-15,2021-10-15,570.5
F36434,2021-10-15,2021-11-14,17703.600000000002
F36435,2021-10-19,2021-10-15,36965.560000000005
F36436,2021-09-29,2021-11-14,5931.000000000001
F36437,2021-10-15,2021-11-29,2800.5000000000005
F36438,2021-10-12,2021-10-15,813.9300000000001
F36439,2021-10-18,2021-10-18,208.0
F36440,2021-10-18,2021-10-18,428.71000000000004
F36441,2021-10-13,2021-10-18,6617.0
F36442,2021-10-18,2021-10-18,4358.9
F36443,2021-10-18,2021-10-18,493.56
F36444,2021-10-19,2021-10-19,770.0
F36445,2021-10-18,2021-10-19,305.25
F36446,2021-10-19,2021-10-19,604.5
F36447,2021-10-19,2021-10-19,3407.5008000000003
F36448,2021-10-19,2021-10-19,1370.0
F36449,2021-10-19,2021-10-19,2400.0
F36450,2021-10-19,2021-10-19,1636.0000000000002
F36451,2021-10-19,2021-10-19,1023.2900000000001
F36452,2021-10-19,2021-11-03,9507.750000000002
F36453,2021-10-19,2021-10-19,267.25
F36454,2021-10-19,2021-10-19,232.5274
F36455,2021-10-20,2021-11-19,1230.0
F36456,2021-10-22,2021-11-19,9108.0
F36457,2021-10-18,2021-11-04,1215.5
F36458,2021-10-13,2021-10-20,1736.4375000000002
F36459,2021-10-20,2021-10-20,1312.5
F36460,2021-10-20,2021-10-20,22055.0
F36461,2021-10-25,2021-11-04,4498.0
F36462,2021-10-20,2021-10-20,6258.97
F36463,2021-10-20,2021-10-20,864.0000000000001
F36464,2021-10-21,2021-10-21,2147.5
F36465,2021-10-21,2021-10-21,444.24
F36466,2021-10-21,2021-10-21,56.87500000000001
F36467,2021-10-21,2021-10-21,284.375
F36468,2021-10-21,2021-11-05,773.86
F36469,2021-10-20,2021-11-05,1392.0
F36470,2021-10-20,2021-11-20,5450.0
F36471,2021-10-18,2021-10-21,24300.000000000004
F36472,2021-10-21,2021-10-21,9500.0
F36473,2021-10-20,2021-10-21,1988.8000000000002
F36474,2021-10-21,2021-10-21,1136.0
F36475,2021-10-18,2021-10-21,993.0000000000001
F36476,2021-10-21,2021-11-20,2250.0
F36477,2021-10-21,2021-11-06,1995.5
F36478,2021-10-22,2021-10-22,2400.0
F36479,2021-10-22,2021-11-21,4400.0
F36480,2021-10-21,2021-10-22,302.98
F36481,2021-10-22,2021-10-22,1416.7
F36482,2021-10-22,2021-10-22,224.22000000000003
F36483,2021-10-06,2021-10-22,3552.5000000000005
F36484,2021-10-22,2021-10-22,587.13
F36485,2021-10-22,2021-10-22,1352.5
F36486,2021-10-21,2021-10-22,1856.9900000000002
F36487,2021-10-21,2021-10-22,377.83000000000004
F36488,2021-10-22,2021-10-22,920.0000000000001
F36489,2021-10-20,2021-10-25,210.0
F36490,2021-10-25,2021-12-09,3923.0
F36491,2021-10-25,2021-10-25,519.5
F36492,2021-10-25,2021-12-24,9500.0
F36493,2021-10-13,2021-10-25,1366.75
F36494,2021-10-25,2021-10-25,300.00000000000006
F36495,2021-10-25,2021-10-25,1450.6699999999998
F36496,2021-10-26,2021-10-26,637.5006
F36497,2021-10-20,2021-11-03,6204.8
F36498,2021-10-25,2021-11-25,19156.300000000003
F36499,2021-10-26,2021-10-26,275.88
F36500,2021-10-26,2021-10-26,1424.5
F36501,2021-10-26,2021-10-26,1330.0
F36502,2021-10-26,2021-10-26,570.0
F36503,2021-10-26,2021-10-26,240.00000000000003
F36504,2021-10-26,2021-10-27,607.92
F36505,2021-10-27,2021-10-27,130.0
F36506,2021-10-27,2021-10-27,115.65220000000002
F36507,2021-10-27,2021-10-27,403.25
F36508,2021-10-27,2021-10-27,1680.0000000000002
F36509,2021-10-27,2021-10-27,902.02
F36510,2021-10-21,2021-11-11,2904.4
F36511,2021-10-27,2021-11-11,1137.5
F36512,2021-10-27,2021-10-27,94.84
F36513,2021-10-27,2021-10-27,847.0000000000001
F36514,2021-10-27,2021-10-27,965.0000000000001
F36515,2021-10-26,2021-10-27,2106.0
F36516,2021-09-30,2021-12-26,21399.510000000002
F36517,2021-10-27,2021-11-11,3431.0000000000005
F36518,2021-09-08,2021-10-27,2625.0
F36519,2021-10-27,2021-10-27,670.0
F36520,2021-10-27,2021-10-27,1155.92
F36521,2021-10-28,2021-11-27,8400.0
F36522,2021-10-28,2021-11-12,912.0000000000001
F36523,2021-10-28,2021-10-28,617.8
F36524,2021-10-28,2021-10-28,2047.44
F36525,2021-10-26,2021-10-28,968.7800000000001
F36526,2021-10-28,2021-10-28,8700.0
F36527,2021-10-28,2021-11-12,2938.2500000000005
F36528,2021-10-28,2021-10-28,3147.0000000000005
F36529,2021-10-28,2021-11-05,6290.360000000001
F36530,2021-10-28,2021-11-05,2730.6200000000003
F36531,2021-10-08,2021-10-28,8951.16
F36532,2021-10-28,2021-10-28,85.96940000000001
F36533,2021-10-29,2021-10-29,1729.5
F36534,2021-10-29,2021-10-29,2250.0
F36535,2021-10-27,2021-10-29,910.0000000000001
F36536,2021-10-29,2021-10-29,342.91
F36537,2021-10-25,2021-10-29,4340.0
F36538,2021-10-08,2021-10-29,1300.0
F36539,2021-10-15,2021-10-29,2250.0
F36540,2021-10-21,2021-10-29,734.0000000000001
F36541,2021-10-26,2021-10-29,3955.05
F36542,2021-10-26,2021-10-29,3630.5000000000005
F36543,2021-11-03,2021-10-29,8750.0
F36544,2021-11-05,2021-10-29,2857.3500000000004
F36545,2021-11-03,2021-10-29,7900.000000000001
F36546,2021-10-22,2021-10-29,728.46
F36547,2021-10-27,2021-10-29,1684.0000000000002
F36548,2021-11-05,2021-10-29,4136.0
F36549,2021-10-29,2021-10-29,431.038
F36550,2021-10-29,2021-10-29,862.065
F36551,2021-10-29,2021-12-13,412116.92
F36552,2021-10-29,2021-10-29,11662.000000000002
F36553,2021-10-29,2021-10-29,1095.88
F36554,2021-10-29,2021-10-29,3266.2100000000005
F36555,2021-10-29,2021-10-29,402.00000000000006
F36556,2021-10-15,2021-10-29,1128.0
F36557,2021-10-22,2021-10-29,862.5000000000001
F36558,2021-10-29,2021-11-13,2815.3790000000004
F36559,2021-10-29,2021-10-29,1293.103
F36560,2021-10-29,2021-10-29,343.75800000000004
F36561,2021-11-03,2021-11-03,1350.0
F36562,2021-11-03,2021-11-03,347.2875
F36563,2021-11-02,2021-11-03,158.455
F36564,2021-11-02,2021-11-03,3875.2908000000007
F36565,2021-11-02,2021-11-03,851.7993
F36566,2021-11-03,2021-11-03,753.0000000000001
F36567,2021-11-02,2021-11-03,1647.3000000000002
F36568,2021-11-02,2021-11-03,425.00000000000006
F36569,2021-11-03,2021-11-03,97.46000000000001
F36570,2021-11-02,2021-11-03,4295.455
F36571,2021-11-03,2021-11-03,300.0
F36572,2021-11-01,2021-11-03,2537.52
F36573,2021-11-03,2021-11-03,3700.0000000000005
F36574,2021-11-03,2021-11-03,143.44
F36575,2021-11-03,2021-11-04,384.0
F36576,2021-11-04,2021-12-04,25554.210000000003
F36577,2021-11-02,2021-11-04,425.00000000000006
F36578,2021-11-03,2021-11-04,1675.0800000000002
F36579,2021-11-04,2021-11-04,855.6306000000001
F36580,2021-11-03,2021-12-04,39144.0
F36581,2021-11-04,2021-12-04,315.55
F36582,2021-10-29,2021-11-19,5282.75
F36583,2021-10-29,2021-11-19,11109.5
F36584,2021-10-29,2022-01-03,3213.0000000000005
F36585,2021-10-29,2022-01-03,4928.400000000001
F36586,2021-11-04,2021-11-04,5860.3248
